,name,rate,location,category,info_link,cover_link
73,新世纪福音战士剧场版：死与新生,9.2,日本,科幻,https://movie.douban.com/subject/1455442/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p454134242.jpg
74,新世纪福音战士 第0:0话 诞生之始,9.2,日本,科幻,https://movie.douban.com/subject/26306741/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2560431118.jpg
75,机动战士高达 THE ORIGIN III 破晓的起义,9.2,日本,科幻,https://movie.douban.com/subject/26359261/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2325456546.jpg
76,新世纪福音战士 第0:0'话 来自黑暗之光,9.2,日本,科幻,https://movie.douban.com/subject/25815018/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2560431234.jpg
77,福音战士新剧场版：序,9.1,日本,科幻,https://movie.douban.com/subject/1968790/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2411110730.jpg
78,攻壳机动队2：无罪,9.1,日本,科幻,https://movie.douban.com/subject/1291566/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910832189.jpg
79,银河英雄传说：我的征途是星辰大海,9.1,日本,科幻,https://movie.douban.com/subject/3542206/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p486657453.jpg
80,银河英雄传说：新战争的序曲,9.1,日本,科幻,https://movie.douban.com/subject/3542229/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2518590956.jpg
81,高智能方程式赛车 TV总集篇,9.1,日本,科幻,https://movie.douban.com/subject/4906417/,https://img3.doubanio.com/view/subject/l/public/s4412555.jpg
82,攻壳机动队,9.0,日本,科幻,https://movie.douban.com/subject/1291936/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910922395.jpg
83,凉宫春日的消失,9.0,日本,科幻,https://movie.douban.com/subject/4074292/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2246432125.jpg
84,机动战士高达：逆袭的夏亚,9.0,日本,科幻,https://movie.douban.com/subject/1401536/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p546980785.jpg
85,机动战士高达 THE ORIGIN IV 命运前夜,9.0,日本,科幻,https://movie.douban.com/subject/26359260/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2409626594.jpg
